title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src,type
Too Close For Christmas,G,88,5.7,,"Drama, Romance",2020,A woman's feelings start to change when she reluctantly spends Christmas with the man responsible for ending her last relationship.,Ernie Barbarash,"Chad Michael Murray, Jessica Lowndes, Vanessa Sears, Steve Byers, ","2,503",$0.01M,"https://m.media-amazon.com/images/M/MV5BNDI4MjI3MTAtZGM1YS00MzEyLTk0YjYtM2FjN2I4YzlmMjk0XkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Nativity 2: Danger in the Manger!,Not Rated,105,5.3,,"Comedy, Family",2012,A worried new teacher has to juggle a pregnant wife and a class of children on a road trip to the National 'Song for Christmas' Competition.,Debbie Isitt,"David Tennant, Marc Wootton, Jason Watkins, Joanna Page, ","4,048",,"https://m.media-amazon.com/images/M/MV5BMTYzMDM0MzM0Ml5BMl5BanBnXkFtZTgwNjIxMTkyMTE@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
Crown for Christmas,TV-G,86,6.9,,"Comedy, Drama, Family",2015,"After getting fired from her job as a maid at a ritzy New York City hotel, Allie reluctantly accepts a temporary gig as the governess to a young girl who is part of a powerful family in Europe that lives in a castle.",Alex Zamm,"Danica McKellar, Rupert Penry-Jones, Ellie Botterill, Pavel Douglas, ","5,110",,"https://m.media-amazon.com/images/M/MV5BNzYxZjQzMzItNmEyZC00ZDE4LTkwZWMtYjk2YzM5NDAyZmUyXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
An Unexpected Christmas,TV-G,83,6.9,,Romance,2021,Emily works at an ad agency and is sent to her ex's hometown before Christmas. She arrives at the train station as her ex is picked up by his family. They mistakenly think Emily's still an item.,Michael Robison,"Tyler Hynes, Bethany Joy Lenz, Alison Wandzura, Lynda Boyd, ","2,142",,"https://m.media-amazon.com/images/M/MV5BMzQ3YWQ4YmUtYzhmOS00MzlkLTgyMDAtZmE3MmNiODk2M2FmXkEyXkFqcGdeQXVyOTUyNjcyNA@@._V1_UY209_CR14,0,140,209_AL_.jpg",Movie
Christmas Under Wraps,TV-G,88,6.2,,"Comedy, Drama, Romance",2014,"When an aspiring surgeon is turned down for a fellowship, she takes a temporary position working as a GP in a small Alaskan town in an effort to boost her résumé.",Peter Sullivan,"Candace Cameron Bure, David O'Donnell, Robert Pine, Kendra Mylnechuk, ","5,776",,"https://m.media-amazon.com/images/M/MV5BNjcwMjkwNTE0MF5BMl5BanBnXkFtZTgwNTQ5Mjg1MzE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
The Flight Before Christmas,TV-PG,88,5.9,,"Comedy, Romance",2015,"Two strangers who both happen to be in marketing, share a room at a bed-and-breakfast when a snowstorm strands their flight in Montana on Christmas Eve.",Peter Sullivan,"Mayim Bialik, Ryan McPartlin, Reginald VelJohnson, Jo Marie Payton, ","1,894",,"https://m.media-amazon.com/images/M/MV5BM2YyNzJjMTEtODg2Mi00YzAxLWI2YzktY2M4MjVjMTM5ZDY5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Mickey's Christmas Carol,G,26,8.0,,"Animation, Short, Comedy",1983,The classic Disney animated characters play the roles in this animated retelling of the Charles Dickens masterpiece.,Burny Mattinson,"Alan Young, Wayne Allwine, Hal Smith, Will Ryan, ","13,687",$21.00M,"https://m.media-amazon.com/images/M/MV5BOTM5MjI3NjUtY2Y4NC00ZTEzLTgyMmEtMzNkMjAzMmQ4NzhmXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Bell Book and Candle,Approved,106,6.8,,"Comedy, Fantasy, Romance",1958,"A modern-day witch likes her neighbor but despises his fiancée, so she enchants him to love her instead.",Richard Quine,"James Stewart, Kim Novak, Jack Lemmon, Ernie Kovacs, ","11,647",,"https://m.media-amazon.com/images/M/MV5BMDQ3ODM1YzYtYTZiMy00YWQxLWE2MzAtYWVlM2Q5OWRhYmExXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
Operation Christmas Drop,TV-G,95,5.8,47,"Comedy, Family, Romance",2020,"Congressional aide Erica forgoes family Christmas to travel at her boss's behest. At a beach side Air Force base, she clashes with Capt. Andrew Jantz, who knows her assignment is finding reasons to defund the facility.",Martin Wood,"Kat Graham, Alexander Ludwig, Trezzo Mahoro, Bethany Brown, ","12,101",,"https://m.media-amazon.com/images/M/MV5BZjM2MTNjNzAtMjU0Yy00MTNmLWFkMDctMWZmMjA0ODE0YTVhXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UY209_CR4,0,140,209_AL_.jpg",Movie
Christmas with a Prince,TV-PG,90,5.3,,"Comedy, Drama, Romance",2018,"Pediatric specialist Tasha Miller is focused on keeping the kids in her ward as healthy as possible. But when the handsome Prince Alexander Cavalieri breaks his leg on a nearby ski-slope, ...                See full summary »",Justin G. Dyck,"Kaitlyn Leeb, Nick Hounslow, Josh Dean, Melinda Shankar, ","1,847",,"https://m.media-amazon.com/images/M/MV5BZDQ0ZGNkZGQtYTRiMi00NGE5LWE4MjMtM2YwNWQ4MmY2ODE1XkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Babes in Toyland,Approved,106,6.1,55,"Comedy, Family, Fantasy",1961,"Mary Contrary is set to marry Tom Piper when he is kidnapped by Roderigo and Gonzorgo, two goons working for the evil Barnaby who wants to marry Mary for her inheritance.",Jack Donohue,"Ray Bolger, Tommy Sands, Annette Funicello, Ed Wynn, ","4,398",$10.22M,"https://m.media-amazon.com/images/M/MV5BZjdlNmEzOTQtNjhlMS00MDZiLTk2YjUtMWEzMzI3ODc4MDVmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Blending Christmas,TV-PG,85,5.4,,"Comedy, Drama, Family",2021,The holiday season is in full swing when Emma learns that the resort where she used to spend Christmases with her family is being redeveloped.,Marla Sokoloff,"Haylie Duff, Aaron O'Connell, Christopher Knight, Mike Lookinland, ",418,,"https://m.media-amazon.com/images/M/MV5BNDYxZDgwN2EtOGZiYS00NDZlLThlOWEtMzI3ZWFjMmI2YTRhXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR36,0,140,209_AL_.jpg",Movie
Christmas Is Canceled,R,95,4.7,,"Comedy, Romance",2021,Emma's father and her high school frenemy start dating so she embarks on a mission to break up the happy couple.,Prarthana Mohan,"Hayley Orrantia, Dermot Mulroney, Janel Parrish, Michael Naizu, ","1,312",,"https://m.media-amazon.com/images/M/MV5BYmMzZjM0MjctODIyYi00Y2M5LTllYzEtNDE4NDEwYTlmODg0XkEyXkFqcGdeQXVyMTQ0NTE1MzQ3._V1_UY209_CR3,0,140,209_AL_.jpg",Movie
Instant Family,PG-13,118,7.3,57,"Comedy, Drama",2018,A couple find themselves in over their heads when they foster three children.,Sean Anders,"Mark Wahlberg, Rose Byrne, Isabela Merced, Gustavo Escobar, ","108,732",$67.36M,"https://m.media-amazon.com/images/M/MV5BMTkzMzgzMTc1OF5BMl5BanBnXkFtZTgwNjQ4MzE0NjM@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
The Bells of St. Mary's,Unrated,126,7.2,,Drama,1945,"At a big city Catholic school, Father O'Malley and Sister Benedict indulge in friendly rivalry, and succeed in extending the school through the gift of a building.",Leo McCarey,"Bing Crosby, Ingrid Bergman, Henry Travers, William Gargan, ","8,520",$21.30M,"https://m.media-amazon.com/images/M/MV5BYWYyZjk5OGEtZTFhNS00OTg0LWJjNWEtYjlkOTQ1MjM1N2ZkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Saving Christmas Spirit,,90,5.6,,"Comedy, Drama, Romance",2022,An archaeologist discovers the importance of letting a little festive wonder back into her life and finds both history and love.,Wendy Faraone,"Ashley Newbrough, James Robinson, Jake Satow, Joanne Randle, ",183,,"https://m.media-amazon.com/images/M/MV5BOWY2NDk4YmMtNmVjNS00MjdmLWFmMmItNTE5NWQxNGNjMDFmXkEyXkFqcGdeQXVyMzE4NzE1NTc@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
The Search for Santa Paws,G,96,5.3,,"Adventure, Drama, Family",2010,Magic dogs and an elf team up with two children to rescue Santa who has lost his memory.,Robert Vince,"Kaitlyn Maher, Madison Pettis, Richard Riehle, Danny Woodburn, ","2,939",,"https://m.media-amazon.com/images/M/MV5BOTI1ODAxMjg3NF5BMl5BanBnXkFtZTcwNDg1NzI5Mw@@._V1_UY209_CR5,0,140,209_AL_.jpg",Movie
Backfire,Passed,91,6.5,,"Crime, Film-Noir, Mystery",1950,"While recuperating from wartime back injuries at a hospital, veteran Bob Corey is visited on Christmas Eve by a beautiful stranger with an even stranger message.",Vincent Sherman,"Viveca Lindfors, Dane Clark, Virginia Mayo, Edmond O'Brien, ","1,464",,"https://m.media-amazon.com/images/M/MV5BZmRhZjlmNWEtN2YyNy00ZjNhLWE2MzItMGI2OGRiNTY2NTM4XkEyXkFqcGdeQXVyNjgzMzEyNjc@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Christmas Made to Order,TV-G,80,5.7,,Romance,2018,"A Hallmark Channel original movie. When architect and Christmas amateur Steven (Jonathan Bennett) finds himself hosting his family for Christmas, he recruits holiday coordinator Gretchen (Alexa PenaVega) to bring holiday joy to his home.",Sam Irvin,"Alexa PenaVega, Jonathan Bennett, Jo Marie Payton, Jacob Young, ","4,629",,"https://m.media-amazon.com/images/M/MV5BOGI2MGQwMGUtOTVjOS00MTAwLTgyM2MtMzU1MjcwNTE5MTg0XkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR87,0,140,209_AL_.jpg",Movie
A Kindhearted Christmas,,84,6.2,,"Comedy, Romance",2021,"Jamie (Jennie Garth), owner of a small-town sightseeing company, has a difficult time navigating the holidays after the death of her husband, who loved giving to others at Christmastime. ...                See full summary »",Alysse Leite-Rogers,"Jennie Garth, Cameron Mathison, Emily Tennant, Bronwen Smith, ","1,368",,"https://m.media-amazon.com/images/M/MV5BNjkyYzE4NmMtNDVhOS00ZDEzLTliZTYtNmJlMTRiZGIzOTI5XkEyXkFqcGdeQXVyMjI0OTU2ODU@._V1_UY209_CR16,0,140,209_AL_.jpg",Movie
Christmas on the Farm,,86,5.2,,"Comedy, Drama, Romance",2021,A romantic comedy about a New York socialite who fakes her identity to get her book published and has to rush back to her deceased mother's farm when the publisher and her son come to visit their 'Australian' author.,Christopher Weekes,"Poppy Montgomery, Darren McMullen, Hugh Sheridan, Nicholas Brown, ",693,,"https://m.media-amazon.com/images/M/MV5BZmMwNzliNjItNDdmNi00NzA4LWE4MmItYmJmZTQ2NzkwODYwXkEyXkFqcGdeQXVyMTQ2Mzk5NTYz._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
A Cinderella Story: Christmas Wish,PG,85,5.3,,"Comedy, Family, Fantasy",2019,"Despite her vain stepmother and mean stepsisters, an aspiring singer finds her own holiday miracle as she works as an elf at a Christmas-tree lot.",Michelle Johnston,"Laura Marano, Gregg Sulkin, Isabella Gomez, Johannah Newmarch, ","6,918",,"https://m.media-amazon.com/images/M/MV5BNTE0OTY2NWQtOWU2MC00ODUwLWE5YmYtZDVjNTdjOWY2ODViXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR4,0,140,209_AL_.jpg",Movie
A Christmas in Vermont,TV-PG,86,5.5,,"Comedy, Romance",2016,A company executive is tasked with liquidizing a small town outerwear manufacturer over the Christmas season.,Fred Olen Ray,"Abigail Hawk, Chevy Chase, David O'Donnell, Howard Hesseman, ","1,106",,"https://m.media-amazon.com/images/M/MV5BZDQwNDE2NTQtY2JjOC00NTM5LWE0ZDEtYTg1YWYxYjY1NDc4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Cloudy with a Chance of Christmas,,90,5.6,,"Comedy, Romance",2022,"When a weather forecaster is asked to host her network's annual snow-cast in the wintry town of Leavenworth live with the network's morning show host and a longtime rival of hers, tension brews and romantic sparks fly between them on air.",Jake Helgren,"Valery M. Ortiz, Brandon Quinn, Sarah Jane Morris, Nicole Bilderback, ",224,,"https://m.media-amazon.com/images/M/MV5BZWU1YzQzN2QtNzU5NC00MzY5LThjMzItZjk5OWFkNzlhNmI1XkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Christmas with a View,TV-PG,91,5.2,,"Drama, Romance",2018,Secret aspirations between a failed restaurateur and a celebrity chef threaten their blossoming Christmas romance.,Justin G. Dyck,"Kaitlyn Leeb, Scott Cavalheiro, Mark Ghanimé, Kristen Kurnik, ","4,966",,"https://m.media-amazon.com/images/M/MV5BZGYxNDI3NzAtOTI1YS00YjJmLTkzZWMtNDFkN2E2NDczMWRmXkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
A Cozy Christmas Inn,TV-G,84,6.0,,"Comedy, Romance",2022,Real-estate exec Erika travels to Alaska during the holidays to acquire a bed-and-breakfast and discover that it's owned by her ex. Soon she falls in love with the town...and maybe with him again?,Peter Sullivan,"Jodie Sweetin, David O'Donnell, Vivica A. Fox, Brian Doyle-Murray, ",696,,"https://m.media-amazon.com/images/M/MV5BNGUxMjMxN2EtNDU1ZC00NmRhLWEyNWMtNDM3ZTlhOTc0YzU4XkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
A Christmas Wish,Not Rated,97,6.5,,"Comedy, Drama, Family",2011,"Abandoned by her husband a few days before Christmas, Martha Evans travels cross-country with the kids in search of work.",Craig Clyde,"Kristy Swanson, Edward Herrmann, K.C. Clyde, Tess Harper, ","1,955",,"https://m.media-amazon.com/images/M/MV5BMTgyNTgzNDI5M15BMl5BanBnXkFtZTgwNDczNDA2MDE@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
Get Santa,PG,102,6.3,52,"Comedy, Family",2014,"After Santa Claus is arrested and jailed, a recently paroled prisoner and his young son attempt to save Christmas before it's too late.",Christopher Smith,"Jim Broadbent, Rafe Spall, Kit Connor, Ewen Bremner, ","4,201",,"https://m.media-amazon.com/images/M/MV5BNTU0OTk3MDg1Ml5BMl5BanBnXkFtZTgwNjk0MjkxMzE@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
The Princess Switch: Switched Again,TV-G,96,5.4,,"Comedy, Drama, Family",2020,"When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it's up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans.",Mike Rohl,"John Jack, Vanessa Hudgens, Sam Palladio, Mark Fleischmann, ","12,158",,"https://m.media-amazon.com/images/M/MV5BMDYxYTEyNmUtYWY5ZS00ODc0LWJkNTItZDU4YTQ1N2VjZDg1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
12 Dates of Christmas,PG,90,6.3,,"Comedy, Family, Fantasy",2011,"A story that follows Kate, a young woman who after a horrible blind date on Christmas Eve, wakes up to find she is re-living that same day and date all over again.",James Hayman,"Laura Miyata, Vijay Mehta, Amy Smart, Audrey Dwyer, ","7,289",,"https://m.media-amazon.com/images/M/MV5BY2VkN2ZjZTYtZTdjMi00MGQyLTg4ZWMtNzhiNzY5YTQ4ZmZmXkEyXkFqcGdeQXVyMzU5NjU1MDA@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
The Princess Switch 3,TV-PG,106,5.5,,"Comedy, Drama, Family",2021,"When a priceless relic is stolen, Queen Margaret and Princess Stacy enlist the help of Margaret's cousin Fiona teams with a man from her past to retrieve it, with romance and resulting in a very unexpected switch.",Mike Rohl,"Vanessa Hudgens, Remy Hii, Sam Palladio, Nick Sagar, ","6,477",,"https://m.media-amazon.com/images/M/MV5BNTRhYzQ1MTEtYjRhZS00NmJkLWE5NzMtNWQ2YzlmMzlmNDI5XkEyXkFqcGdeQXVyNjEwMDM4NTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
A Princess for Christmas,TV-G,91,6.3,,"Comedy, Drama, Family",2011,"At the invitation of an estranged relative, a young woman travels with her niece and nephew to a castle in Europe for Christmas, where she unwittingly falls for a dashing Prince.",Michael Damian,"Katie McGrath, Roger Moore, Sam Heughan, Travis Turner, ","8,558",,"https://m.media-amazon.com/images/M/MV5BMTg2NzA3MDY5MF5BMl5BanBnXkFtZTcwOTkyODY5Ng@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
The Spirit of Christmas,Unrated,91,6.4,,"Drama, Mystery, Romance",2015,"12 days before Christmas, Kate is trying to close the sale of a historic inn, only to find Daniel, the ghost of a man who died a century ago, and he needs her help to unravel the mystery of his annual holiday haunting.",David Jackson,"Thomas Beaudoin, Kati Salowsky, Steven A. Miller, Jen Lilley, ","7,553",,"https://m.media-amazon.com/images/M/MV5BYzcyM2MxNzMtYzEzNi00MjRlLWI2YTItM2U0MWZlZDVkNjNhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTU5MjU5MTM@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
The Holiday Calendar,TV-PG,95,5.7,,"Drama, Fantasy, Romance",2018,"A struggling but talented photographer inherits an antique holiday advent calendar, the contents of which seem to predict the future. Will this magical calendar lead her to love this holiday season?",Bradley Walsh,"Kat Graham, Quincy Brown, Ethan Peck, Ron Cephas Jones, ","10,687",,"https://m.media-amazon.com/images/M/MV5BY2ZhYWRlMWYtMDA2YS00ZDQ5LWFmMzctZjg2ZDAwOThmNmJjXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Christmas Catch,TV-PG,87,5.4,,"Comedy, Crime, Romance",2018,A small-town policewoman falls for a suspected diamond thief at Christmas time.,Justin G. Dyck,"Emily Alatalo, Andrew Bushell, Franco Lo Presti, Genelle Williams, ","1,667",,"https://m.media-amazon.com/images/M/MV5BMTVkNDk0MTgtODMxMC00MDFjLTg3ZWQtZjI2N2FlZWQ1MmE0XkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
Lady in the Lake,Passed,105,6.5,,"Crime, Film-Noir, Mystery",1946,The lady editor of a crime magazine hires Phillip Marlowe to find the wife of her boss. The private detective soon finds himself involved in murder.,Robert Montgomery,"Robert Montgomery, Audrey Totter, Lloyd Nolan, Tom Tully, ","5,736",,"https://m.media-amazon.com/images/M/MV5BODJkYjAzYzYtOGExNS00ZGRlLWFmNWQtZTE4Yzk1YjE3NWYxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
Beauty and the Beast: The Enchanted Christmas,G,72,5.9,,"Animation, Family, Fantasy",1997,"Astonished to find the Beast (Robbie Benson) has a deep-seeded hatred for the Christmas season, Belle (Paige O'Hara) endeavors to change his mind on the matter.",Andrew Knight,"Paige O'Hara, Robby Benson, Jerry Orbach, David Ogden Stiers, ","11,090",,"https://m.media-amazon.com/images/M/MV5BMTQxNjI2NjU4MV5BMl5BanBnXkFtZTcwNjQ2NjUwNw@@._V1_UY209_CR5,0,140,209_AL_.jpg",Movie
Rent,PG-13,135,6.8,53,"Drama, Musical, Romance",2005,"This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America.",Chris Columbus,"Taye Diggs, Wilson Jermaine Heredia, Rosario Dawson, Anthony Rapp, ","53,958",$29.08M,"https://m.media-amazon.com/images/M/MV5BOTNmZWI2NzItNmNmMC00ZGY2LWE4ZTAtNjMxZTJiZWUwMzAyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Return to Christmas Creek,TV-G,86,6.1,,"Drama, Romance",2018,"With Christmas approaching, a career-focused Chicago app developer returns to her small hometown to rediscover the meaning of Christmas. There she reunites with her estranged uncle and her childhood best friend, who she begins falling for.",Don McBrearty,"Tori Anderson, Stephen Huszar, Steven Weber, Kari Matchett, ","2,112",,"https://m.media-amazon.com/images/M/MV5BYzFhMDc2NDctN2RlNy00YjRlLWExZGEtMzU1ZGM3NDJiZWM4XkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Christmas in Connecticut,Not Rated,93,4.8,,"Comedy, Romance",1992,"Elizabeth, the star of a successful cooking show, is set to do a live show on Christmas, where she'll cook a Christmas dinner. But what no one knows is that she can't cook.",Arnold Schwarzenegger,"Dyan Cannon, Kris Kristofferson, Tony Curtis, Richard Roundtree, ","1,491",,"https://m.media-amazon.com/images/M/MV5BOTY4NWU4YjgtNzhlYS00YjljLTkxODYtOTcxNTJhNjc5ODdiXkEyXkFqcGdeQXVyNzMwOTY2NTI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
No Sleep 'Til Christmas,TV-14,90,6.5,,"Comedy, Romance",2018,A bartender and a businesswoman find they only have one thing in common; insomnia.,Phil Traill,"Odette Annable, Dave Annable, Charles Michael Davis, Alphonso McAuley, ","2,583",,"https://m.media-amazon.com/images/M/MV5BNjViODZmZDQtYTE1ZC00NmE0LTllZWEtYjBhMmQzZmUwNzNiXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
"Nativity 3: Dude, Where's My Donkey?!",,109,3.6,,"Comedy, Family",2014,"The pupils of St Bernadette's and the madcap Mr Poppy (MARC WOOTTON) are back! When their new teacher Mr Shepherd (MARTIN CLUNES) loses his memory as well as Archie the Donkey, it's up to ...                See full summary »",Debbie Isitt,"Martin Clunes, Marc Wootton, Catherine Tate, Adam Garcia, ","1,912",,"https://m.media-amazon.com/images/M/MV5BMTUxOTQ1NTgyOF5BMl5BanBnXkFtZTgwMzAxMzU4MjE@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Nativity Rocks!,,100,4.3,,"Comedy, Family, Musical",2018,The staff and students of St Bernadette's Primary School in Coventry audition for a place in a rock-musical competition.,Debbie Isitt,"Simon Lipkin, Craig Revel Horwood, Daniel Boys, Anna Chancellor, ",700,,"https://m.media-amazon.com/images/M/MV5BNmY4OGM5M2ItZWIzNy00NjUxLTg1MDEtMzE3YjMyNzE0ZjQ0XkEyXkFqcGdeQXVyMzA4NzM1Njk@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
12 Gifts of Christmas,TV-G,83,6.3,,"Comedy, Romance",2015,"With just two weeks left until Christmas, a busy marketing executive hires a struggling artist-turned-personal shopper to help him buy gifts for his friends and family.",Peter Sullivan,"Katrina Law, Aaron O'Connell, Donna Mills, Melanie Nelson, ","4,858",,"https://m.media-amazon.com/images/M/MV5BNDc4MjE3Mjk2Ml5BMl5BanBnXkFtZTgwNzU3OTIyNzE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Godmothered,PG,110,6.1,49,"Comedy, Drama, Family",2020,An unskilled young fairy godmother ventures out on her own to prove her worth by tracking down a young girl whose request for help was ignored.,Sharon Maguire,"June Squibb, Jillian Bell, Sonia Manzano, Carlease Burke, ","12,908",,"https://m.media-amazon.com/images/M/MV5BZTdkYjM0ZTQtNTc5NS00YzcxLWI0OTMtNTVjNmRlMGE3MmUzXkEyXkFqcGdeQXVyNjMwMzc3MjE@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Crown Prince of Christmas,,85,5.2,,"Comedy, Drama, Romance",2022,"Madison, a musician, jokingly says she is dating the prince of a small European nation. Her friend Sebastian is roped into impersonating the prince while visiting her family.",Anthony C. Ferrante,"Cindy Busby, Jilon VanOver, Nancy Harding, Jeff K. Kim, ",162,,"https://m.media-amazon.com/images/M/MV5BNjFlMjUyMjYtNzNjYy00OTEyLWIxZTMtZDA5N2M1NTZmODA4XkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Blackadder's Christmas Carol,,43,7.9,,"Comedy, History",1988,"After a genial spirit shows the benevolent Ebenezer Blackadder visions of his unscrupulous ancestors, he resolves to mend his generous ways.",Richard Boden,"Rowan Atkinson, Tony Robinson, Miranda Richardson, Stephen Fry, ","13,354",,"https://m.media-amazon.com/images/M/MV5BNzlkZjNkMDEtOWMxYS00ODUyLWE0MzUtMTM3MGYwOTJlMjFmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
Rudolph the Red-Nosed Reindeer: The Movie,G,83,5.8,,"Animation, Adventure, Family",1998,It's up to Santa's most famous reindeer to save the day when an evil queen conjures up a storm on Christmas.,William R. Kowalchuk Jr.,"John Goodman, Bob Newhart, Debbie Reynolds, Eric Pospisil, ","2,912",$0.11M,"https://m.media-amazon.com/images/M/MV5BZjQyMmQ0OTQtZTBjZC00OTNjLWFiNGEtOTQxNWIyOGVhMGVlXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
The Thin Man,TV-PG,91,7.9,86,"Comedy, Crime, Mystery",1934,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",W.S. Van Dyke,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, ","30,417",,"https://m.media-amazon.com/images/M/MV5BMTBjOGQwODQtMjY4Mi00ODM2LWFhOGEtYjhlMmViYzcwYmJkXkEyXkFqcGdeQXVyMTUzMTQxMjU1._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Christmas Wedding Planner,PG,86,4.4,,Romance,2017,"While planning her cousin's lavish wedding, Kelsey Wilson's world is turned upside down when Private Investigator Connor McClean shows up. Connor, hired by a unnamed source, disrupts the upcoming nuptials but manages to win Kelsey's heart.",Justin G. Dyck,"Jocelyn Hudon, Stephen Huszar, Kelly Rutherford, Rebecca Dalton, ","6,365",,"https://m.media-amazon.com/images/M/MV5BN2NmYzdjMTgtYWE0Mi00YjRkLTgxZTEtNzUzNzgyZjI0Y2UxXkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UY209_CR4,0,140,209_AL_.jpg",Movie
Tokyo Godfathers,PG-13,92,7.8,73,"Animation, Adventure, Comedy",2003,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",Satoshi Kon,"Tôru Emori, Yoshiaki Umegaki, Aya Okamoto, Shôzô Îzuka, ","41,691",$0.13M,"https://m.media-amazon.com/images/M/MV5BMTkyNmU2ZjUtNzIwMy00MWRlLWE4ZWQtYzJhYjU0MmUxZjhiXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
The Christmas Shoes,TV-PG,100,6.6,,"Drama, Family",2002,"A young boy tries to get a pair of Christmas shoes for his dying mother, while a lawyer tries to deal with the break-up of his marriage.",Andy Wolk,"Rob Lowe, Kimberly Williams-Paisley, Max Morrow, Maria del Mar, ","2,730",,"https://m.media-amazon.com/images/M/MV5BMTk5MzkxNjEzMF5BMl5BanBnXkFtZTcwMjc5ODczMQ@@._V1_UY209_CR3,0,140,209_AL_.jpg",Movie
