title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src,type
Saving Santa,Not Rated,83,5.3,,"Animation, Adventure, Comedy",2013,"A lowly stable elf finds that he is the only one who can stop an invasion of the North Pole by using the secret of Santa's Sleigh, a TimeGlobe, to travel back in time to Save Santa, twice.",Leon Joosen,"Aaron Seelman, Newell Alexander, Noel Clarke, Joan Collins, Tim Conway, ","2,697",,"https://m.media-amazon.com/images/M/MV5BMTYzNDM4NzIwN15BMl5BanBnXkFtZTcwMTQ0MTA3OQ@@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
Star in the Night,Not Rated,22,7.7,,"Short, Drama, Family",1945,"Three cowboys riding across the desert with gifts for no particular recipient, see a distant bright light and find it comes from the Star Auto Court sign where the owners and guests work together to help a young pregnant wife and husband.",Don Siegel,"J. Carrol Naish, Donald Woods, Rosina Galli, Richard Erdman, ","1,073",,"https://m.media-amazon.com/images/M/MV5BOGFhZGFjODAtZjdiMi00NDMzLWJlNDktOGU3MGFhN2NkY2VjXkEyXkFqcGdeQXVyMjQ4ODQxNjI@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Silver Bells,TV-G,95,6.4,,"Drama, Family, Romance",2005,"Manhattanite Catherine O'Mara (Heche) bonds with a young man who has run away from his father. When the father returns to New York a year later to sell his Christmas trees, he and Catherine cross paths.",Dick Lowry,"Anne Heche, Tate Donovan, Michael Mitchell, Courtney Jines, ","1,223",,"https://m.media-amazon.com/images/M/MV5BMmFkYmQ4ZDQtOGI3NS00OGYyLTgxNDMtNjNlMDUxZTQ1ZGVmXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Snowmance,Unrated,90,5.2,,"Comedy, Drama, Family",2017,"Each year Sarah builds her ""Snow Beau"" snowman with her best friend Nick. After another breakup, she begins to wonder if she'll ever find her own true love. A little Christmas magic brings her Snow Beau to life.",Douglas Mitchell,"Ashley Newbrough, Jesse Hutch, Adam Hurtig, Tom Anniko, ",974,,"https://m.media-amazon.com/images/M/MV5BNGM3MmIyYmYtYWI0Yi00YTAyLWI0YTAtZWNjNTAwNjlhNTI0XkEyXkFqcGdeQXVyODEyNzgyNDg@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
A Dennis the Menace Christmas,G,83,4.7,,"Comedy, Family, Fantasy",2007,"To make sure that his beloved neighbour, Mr Wilson, has the perfect Christmas, the neighbourhood's lively six-year-old boy, Dennis Mitchell, makes a long list of things one needs to make it work. However, is Mr Wilson willing to change?",Ron Oliver,"Maxwell Perry Cotton, Robert Wagner, Louise Fletcher, Isaac Durnford, ","2,104",,"https://m.media-amazon.com/images/M/MV5BMTc3MTQ1MjM1MV5BMl5BanBnXkFtZTcwNDQ1MjE2MQ@@._V1_UY209_CR3,0,140,209_AL_.jpg",Movie
A Christmas Kiss II,Unrated,88,5.9,,"Comedy, Romance",2014,"At a Christmastime event, Jenna shares an impromptu, unforgettable kiss with the dashing billionaire, Cooper Montgomery. Unaware of his intentions and fearful of getting hurt in another ...                See full summary »",Kevin Connor,"Elisabeth Harnois, Adam Mayfield, Jonathan Bennett, Lola Glaudini, ","2,081",,"https://m.media-amazon.com/images/M/MV5BYWJlOGM0NmUtZDQyYS00N2FkLWEzNTktMzI0NjI4OTQ2MTFlXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
The Christmas Bow,TV-G,83,6.7,,"Drama, Music, Romance",2020,"When an accident puts her music dreams on hold, a gifted violinist reconnects with an old family friend who helps her heal and find love during the holidays.",Clare Niederpruem,"Lucia Micarelli, Michael Rady, James Saito, Joy Perry, ","1,074",,"https://m.media-amazon.com/images/M/MV5BMGQwN2I3YjctODUyYi00M2RlLTg1YzEtMTZjYTJmODYwMzc0XkEyXkFqcGdeQXVyODU3NzkyMDM@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Journey Back to Christmas,TV-G,84,7.0,,"Drama, Family, Fantasy",2016,A WWII-era nurse is transported in time to 2016 and meets a man who helps her discover the bonds of family and that the true meaning of Christmas is timeless.,Mel Damski,"Candace Cameron Bure, Oliver Hudson, Brooke Nevin, Meghan Heffern, ","2,945",,"https://m.media-amazon.com/images/M/MV5BY2Y2ODQyMGYtNzc3Ny00YzMyLWJmMDEtZWZlYzBjZTU5MjM0XkEyXkFqcGdeQXVyODE4NjAwNjk@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Once Upon a Main Street,TV-PG,87,6.3,,"Comedy, Drama, Romance",2020,"Amelia, who wants to open a year-round Christmas store, bids for a shop lot against Vic, who wants to open a chocolate shop. Rivalry becomes romance when they must work together.",Polly Draper,"Vanessa Lachey, Ryan McPartlin, Polly Draper, Scott Takeda, ",689,,"https://m.media-amazon.com/images/M/MV5BMDhiYmMzNjctYTM2MC00ZmQ2LTk5MGMtNDc3ZjdlZTRlODkwXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Christmas on the Rocks,,90,6.4,,Romance,2022,"When an event planner is hurt, her twin sister pretends to be her to save an important corporate client, but things go awry when an old flame reappears and the twin is still stuck pretending to be her sister.",Lane Shefter Bishop,"Khiyla Aynne, Bukola Ayoka, Matthew Bennett, Billy MacLellan, ",72,,"https://m.media-amazon.com/images/M/MV5BNTNjNGI0YWMtYjc1OS00YjUyLWI0ZjctNjI3N2MzNGZiNTE2XkEyXkFqcGdeQXVyMTI5NTI0MDQw._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
Christmas Around the Corner,TV-PG,90,6.6,,"Comedy, Drama, Romance",2018,"Claire, a savvy venture capitalist from New York City, escapes to a quaint town in Vermont for the holidays and becomes a guest of the Fortenbury Bookstore. Upon arrival, Claire finds ...                See full summary »",Megan Follows,"Alexandra Breckenridge, Jamie Spilchuk, Jane Alexander, Tara Spencer-Nairn, ","1,593",,"https://m.media-amazon.com/images/M/MV5BMWZlZWZjMmQtODIyOC00NTQwLWIxNGMtNTM0NDc2MTFkYzhjXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
A Christmas Princess,TV-PG,90,5.5,,"Comedy, Romance",2019,"Jessica is a struggling chef living in a trendy New York borough. Prince Jack, who's in the city for his family's annual Christmas charity dinner, finds himself in need of a last-minute chef for a royal event when he meets Jessica.",Fred Olen Ray,"Shein Mompremier, Travis Burns, Erin Gray, Andy Lauer, ",768,,"https://m.media-amazon.com/images/M/MV5BZTkyOTQyZjUtODk4ZC00NjkyLTk5NDMtY2NkYTA4MjE5ODI3XkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR12,0,140,209_AL_.jpg",Movie
Magic Stocking,,86,6.4,,"Comedy, Drama, Fantasy",2015,"A young widow's daughter is given a tattered old Christmas stocking at a holiday craft sale, but her mother is skeptical of its magic when it seems to create small trinkets on its own.",David Winning,"Bridget Regan, Victor Webster, Iris Quinn, Imogen Tear, ","1,565",,"https://m.media-amazon.com/images/M/MV5BZmI3Y2Q5ZTctZDNjMC00MTZjLTg4YmEtZmM0YzUzN2M5ZjA5XkEyXkFqcGdeQXVyMzUxMzEwODA@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
The Spruces and the Pines,Unrated,86,6.0,,"Comedy, Drama, Family",2017,Julie (Jonna Walsh) and Rick (Nick Ballard) fall in love despite being on opposite sides of feuding Christmas-tree-farm families.,John Stimpson,"Jonna Walsh, Nick Ballard, Tom Kemp, Ken Cheeseman, ",972,,"https://m.media-amazon.com/images/M/MV5BMGMxYzBmZTctZjk0My00NDcxLWIyN2UtNzI0ZTAzYjJiNDgwXkEyXkFqcGdeQXVyNDI3NjA5MTY@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
Magical Christmas Ornaments,TV-14,90,6.3,,"Drama, Fantasy, Romance",2017,"""After a bad breakup, former Christmas lover Marie (Lowndes) loses her Christmas spirit. Trying to restore it, her mother sends Marie Christmas ornaments from her childhood, and a ...                See full summary »",Don McBrearty,"Jessica Lowndes, Brendan Penny, Farah Merani, Stephen Huszar, ","1,757",,"https://m.media-amazon.com/images/M/MV5BMDFjYWRhNjUtNmZkMy00OTljLWI4NWQtZGQ4MTQwY2ExNGY3XkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Four Christmases and a Wedding,TV-14,90,5.9,,"Comedy, Drama, Family",2017,"Chloe plans the first Christmas Fair where she meets Evan and falls in love, but he goes to Norway for his dream job. He bring someone else to the second one; during the third one, Chloe is dating Ted. What will happen this year?",Marita Grabiak,"Arielle Kebbel, Corey Sevier, Markie Post, Madison Smith, ","1,317",,"https://m.media-amazon.com/images/M/MV5BYjBkY2Y1MjYtNjQ4YS00NTJlLTlmNDUtNmE1ODc5ZDNmYzg2XkEyXkFqcGdeQXVyMjczOTU2NTI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Time for You to Come Home for Christmas,TV-G,84,7.0,,"Drama, Romance",2019,"A recent widow travels with her son to her Virginia hometown for Christmas. On the way they meet a man who is heading to the same destination. As they continue to spend time together, the pair grows closer.",Terry Ingram,"Alison Sweeney, Lucas Bryant, Kiefer O'Reilly, Britt Irvin, ","1,060",,"https://m.media-amazon.com/images/M/MV5BMWI2ZmRhM2UtZWQ2NC00Y2NkLTg5NmMtN2I5YmI4MzBhMWIzXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
My Christmas Love,TV-G,85,6.2,,"Comedy, Romance",2016,"A hopeless romantic who can't ever seem to give a guy a real chance begins receiving each of the ""12 Days of Christmas"" as gifts anonymously at her door and begins to believe that the mystery suitor may finally live up to her expectations.",Jeff Fisher,"Meredith Hagner, Bobby Campo, Megan Park, Aaron O'Connell, ","2,735",,"https://m.media-amazon.com/images/M/MV5BOTA4NTNlZGMtOGFkMy00MzhlLTg5M2ItZWE4Mjk0NTgzNGQzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyODM4MjYxMA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Deliver by Christmas,TV-G,84,6.6,,"Comedy, Romance",2020,"Molly meets Josh, a widower who recently moved to town with his young son. At the same time she is charmed by a mysterious client of her bakery whom she's never met in person. In the end, he was the one and the same man.",Terry Ingram,"Alvina August, Eion Bailey, Kesler Talbot, Nadeen Lightbody, ","1,209",,"https://m.media-amazon.com/images/M/MV5BOTI5M2JhZDYtMTljOC00YTQwLWI2MDgtNDk2YTAxN2JmZTdiXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
A Wedding for Christmas,,90,5.3,,Romance,2018,"Haley escapes her small-town and builds a life in Los Angeles as a wedding planner. When her sister asks her to plan her wedding, Haley returns to her childhood town and reunites with a childhood flame.",Fred Olen Ray,"Cristine Prosperi, Colton Little, Vivica A. Fox, Lesli Kay, ",941,,"https://m.media-amazon.com/images/M/MV5BM2YyNzViY2YtNWVjZS00OTEwLWEyYzMtYjkyODY0MjBmYjNmXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
